Actor/Actress	Movie	Year
Michael Michele	Dark Blue	2002
Courteney Cox	The Shrink Is In	2001
Carol Kane	The Shrink Is In	2001
David Arquette	The Shrink Is In	2001
David James Elliott	The Shrink Is In	2001
Courteney Cox	The Runner	1999
Ron Eldard	The Runner	1999
John Goodman	The Runner	1999
Joe Mantegna	The Runner	1999
Courteney Cox	November	2004
Michael Ealy	November	2004
James Le Gros	November	2004
Dori Mizrahi	November	2004
Courteney Cox	Ace Ventura: Pet Detective	1994
Courteney Cox	Scream 2	1997
Neve Campbell	Scream 2	1997
Jada Pinkett Smith	Scream 2	1997
David Arquette	Scream 2	1997
Courteney Cox	Cocoon: The Return	1988
Wilford Brimley	Cocoon: The Return	1988
Courteney Cox	Blue Desert	1990
D.B. Sweeney	Blue Desert	1990
Philip Baker Hall	Blue Desert	1990
Jason Beghe	Monkey Shines	1988
Kate McNeil	Monkey Shines	1988
John Pankow	Monkey Shines	1988
Joyce Van Patten	Monkey Shines	1988
Jason Beghe	Atlas Shrugged II: The Strike	2012
Samantha Mathis	Atlas Shrugged II: The Strike	2012
Patrick Fabian	Atlas Shrugged II: The Strike	2012
Esai Morales	Atlas Shrugged II: The Strike	2012
Jason Beghe	An Experiment in Fear: The Making of Monkey Shines	2014
Everett Burrell	An Experiment in Fear: The Making of Monkey Shines	2014
Pasquale Buba	An Experiment in Fear: The Making of Monkey Shines	2014
Peter Grunwald	An Experiment in Fear: The Making of Monkey Shines	2014
Jason Beghe	G.I. Jane	1997
Demi Moore	G.I. Jane	1997
Viggo Mortensen	G.I. Jane	1997
Jason Beghe	Survivors of Malmedy: December 1944	2018
Reg Jans	Survivors of Malmedy: December 1944	2018
Jason Beghe	Going Clear: Scientology & the Prison of Belief	2015
Spanky Taylor	Going Clear: Scientology & the Prison of Belief	2015
Victoria Abril	After Darkness	1985
Julian Sands	After Darkness	1985
Pamela Salem	After Darkness	1985
John Hurt	After Darkness	1985
Victoria Abril	Comin' at Ya!	1981
Ricardo Palacios	Comin' at Ya!	1981
Victoria Abril	Don't Tempt Me	2001
Gerardo Giacinti	Don't Tempt Me	2001
Penelope Cruz	Don't Tempt Me	2001
Jero Garcia	Don't Tempt Me	2001
Victoria Abril	L'addition	1984
Richard Berry	L'addition	1984
Farid Chopel	L'addition	1984
Richard Bohringer	L'addition	1984
Joe Pesci	Easy Money	1983
Rodney Dangerfield	Easy Money	1983
Geraldine Fitzgerald	Easy Money	1983
Candice Azzara	Easy Money	1983
Joe Pesci	The Public Eye	1992
Bryan Travis Smith	The Public Eye	1992
Barbara Hershey	The Public Eye	1992
Richard Riehle	The Public Eye	1992
Joe Pesci	The Death Collector	1976
Frank Vincent	The Death Collector	1976
Joe Cortese	The Death Collector	1976
Lou Criscuolo	The Death Collector	1976
Keith Davis	The Death Collector	1976
Bobby Alto	The Death Collector	1976
Joe Pesci	My Cousin Vinny	1992
Marisa Tomei	My Cousin Vinny	1992
Mitchell Whitfield	My Cousin Vinny	1992
Ralph Macchio	My Cousin Vinny	1992
Joe Pesci	Goodfellas	1990
Lorraine Bracco	Goodfellas	1990
Ray Liotta	Goodfellas	1990
Robert De Niro	Goodfellas	1990
Joe Pesci	Man on Fire	1987
Joe Pesci	Gone Fishin'	1997
Rosanna Arquette	Gone Fishin'	1997
Danny Glover	Gone Fishin'	1997
Lynn Whitfield	Gone Fishin'	1997
Ben Cotton	The Cabin Movie	2005
Brad Dryborough	The Cabin Movie	2005
Arabella Bushnell	The Cabin Movie	2005
Ryan Robbins	The Cabin Movie	2005
Ben Cotton	In No Particular Order	2012
Sarah Lind	In No Particular Order	2012
Kristine Cofsky	In No Particular Order	2012
Sonja Bennett	In No Particular Order	2012
Carmen Lavigne	In No Particular Order	2012
Stephen Lobo	In No Particular Order	2012
Mike Dopud	In No Particular Order	2012
Jill Hennessy	If I Had Wings	2013
Richard Harmon	If I Had Wings	2013
Craig Bierko	If I Had Wings	2013
Jaren Brandt Bartlett	If I Had Wings	2013
Jill Hennessy	The Acting Class	2000
Ken Murton	The Acting Class	2000
Elizabeth Holder	The Acting Class	2000
Jody Booth	The Acting Class	2000
Jill Hennessy	Lymelife	2008
Alec Baldwin	Lymelife	2008
Jill Hennessy	Lost in Time	2018
Carmen Tonry	Lost in Time	2018
Han Soto	Lost in Time	2018
Zhener Wang	Lost in Time	2018
Ziming Du	Lost in Time	2018
Griff Furst	Lost in Time	2018
Yu Wang	Lost in Time	2018
Jill Hennessy	Love in the Time of Money	2002
Malcolm Gets	Love in the Time of Money	2002
Vera Farmiga	Love in the Time of Money	2002
Domenick Lombardozzi	Love in the Time of Money	2002
Donald Sutherland	Younger and Younger	1993
Lolita Davidovich	Younger and Younger	1993
Brendan Fraser	Younger and Younger	1993
Sally Kellerman	Younger and Younger	1993
Donald Sutherland	The Trouble with Spies	1987
Lucy Gutteridge	The Trouble with Spies	1987
Ned Beatty	The Trouble with Spies	1987
Ruth Gordon	The Trouble with Spies	1987
Donald Sutherland	The Day of the Locust	1975
Donald Sutherland	Out of the Shadows	2012
Donald Sutherland	Joanna	1968
Christian Doermer	Joanna	1968
Calvin Lockhart	Joanna	1968
Genevieve Waite	Joanna	1968
Donald Sutherland	Virus	1999
Joanna Pacula	Virus	1999
Jamie Lee Curtis	Virus	1999
William Baldwin	Virus	1999
Steven Bauer	Thieves and Liars	2006
Steven Bauer	Heartlines	2012
Jaime Zevallos	Heartlines	2012
Seregon O'Dassey	Heartlines	2012
Steven Bauer	Woman of Desire	1994
Robert Mitchum	Woman of Desire	1994
Bo Derek	Woman of Desire	1994
Jeff Fahey	Woman of Desire	1994
Steven Bauer	The Versace Murder	1998
Franco Nero	The Versace Murder	1998
Shane Perdue	The Versace Murder	1998
Matt Servitto	The Versace Murder	1998
Steven Bauer	Wild Side	1995
Anne Heche	Wild Side	1995
Christopher Walken	Wild Side	1995
Joan Chen	Wild Side	1995
Richard Herd	Corporate Affairs	1990
Chris Lemmon	Corporate Affairs	1990
Peter Scolari	Corporate Affairs	1990
Scott Adkins	El Gringo	2012
Petar Bachvarov	El Gringo	2012
Zachary Baharov	El Gringo	2012
Mimoza Bazova	El Gringo	2012
Scott Adkins	Green Street 3: Never Back Down	2013
Scott Adkins	Universal Soldier: Day of Reckoning	2012
Dolph Lundgren	Universal Soldier: Day of Reckoning	2012
Mariah Bonner	Universal Soldier: Day of Reckoning	2012
Jean-Claude Van Damme	Universal Soldier: Day of Reckoning	2012
Scott Adkins	Abduction	2019
Truong Ngoc Anh	Abduction	2019
Andy On	Abduction	2019
Lily Ji	Abduction	2019
Mika Hijii	Akko's Secret	2012
Haruka Ayase	Akko's Secret	2012
Mika Hijii	...And Love	2017
Yuri Morishita	...And Love	2017
Tomoko Kato	...And Love	2017
Takayuki Suzuki	...And Love	2017
Kiss Konishi	...And Love	2017
Mika Hijii	Ninja	2009
Todd Jensen	Ninja	2009
Tsuyoshi Ihara	Ninja	2009
Kane Kosugi	Journey of Honor	1991
David Essex	Journey of Honor	1991
Sho Kosugi	Journey of Honor	1991
Christopher Lee	Journey of Honor	1991
Savika Chaiyadej	Love Slave	2014
Lakana Wattanawongsiri	Love Slave	2014
Petchtai Wongkamlao	Love Slave	2014
Sakaojai Poonsawat	Love Slave	2014
Savika Chaiyadej	Chum thaang rot fai phii	2007
Phoomjai Tangsanga	Chum thaang rot fai phii	2007
Chaleumpol Tikumpornteerawong	Chum thaang rot fai phii	2007
Lakana Wattanawongsiri	Chum thaang rot fai phii	2007
Kett Thantup	Chum thaang rot fai phii	2007
Sura Theerakon	Chum thaang rot fai phii	2007
Savika Chaiyadej	The Holy Man	2005
Pongsak Pongsuwan	The Holy Man	2005
Sarawut Phumthong	The Holy Man	2005
Somlek Sakdikul	The Holy Man	2005
Petchtai Wongkamlao	The Holy Man	2005
Note Chern-Yim	The Holy Man	2005
Savika Chaiyadej	Markandeyan	2011
Sulile Kumar	Markandeyan	2011
Niveditha	Markandeyan	2011
M.S. Bhaskar	Markandeyan	2011
Savika Chaiyadej	Jan Dara: The Beginning	2012
Sakrat Ruekthamrong	Jan Dara: The Beginning	2012
Savika Chaiyadej	100 Percent Love Aata	2018
Mithuna	100 Percent Love Aata	2018
Prajin	100 Percent Love Aata	2018
Savika Chaiyadej	Jan Dara: The Finale	2013
Nat Tephadsadin Na Ayutthaya	Jan Dara: The Finale	2013
Chaiyapol Jullian Poupart	Jan Dara: The Finale	2013
Ratklao Amaradit	Jan Dara: The Finale	2013
Sho Nishino	Jan Dara: The Finale	2013
Yayaying Rhatha Phongam	Jan Dara: The Finale	2013
Bongkoj Khongmalai	Jan Dara: The Finale	2013
Mario Maurer	Jan Dara: The Finale	2013
Sakrat Ruekthamrong	Jan Dara: The Finale	2013
Kavee Tanjararak	Ponglang Amazing Theater	2007
Kom Chauncheun	Ponglang Amazing Theater	2007
Khwannapa Reuangsri	Ponglang Amazing Theater	2007
Visa Sarasas	Ponglang Amazing Theater	2007
Somphong Kunapratom	Ponglang Amazing Theater	2007
Kohtee Aramboy	Ponglang Amazing Theater	2007
Duangrudee Boonbumroong	Ponglang Amazing Theater	2007
Kavee Tanjararak	Bangkok Sweety	2011
Kavee Tanjararak	Sexphone & the Lonely Wave	2003
Cheathavuth Watcharakhun	Sexphone & the Lonely Wave	2003
Anant Boonnark	Sexphone & the Lonely Wave	2003
Paula Taylor	Sexphone & the Lonely Wave	2003
Somchai Samipak	Sexphone & the Lonely Wave	2003
Kavee Tanjararak	Omen	2003
Supatchaya Reunreung	Omen	2003
Apichej Kittikornjaroen	Omen	2003
Dan Worrawech	Omen	2003
Pisamai Wilaisak	Omen	2003
Ase Wang	Shambala	2012
Sunny Suwanmethanont	Shambala	2012
Ananda Everingham	Shambala	2012
Nalintip Permpattarasakul	Shambala	2012
Ase Wang	Clouds in My Coffee	2004
Christian Lee	Clouds in My Coffee	2004
Celeste Lim	Clouds in My Coffee	2004
Cindy Ng	Clouds in My Coffee	2004
Garrett Hoo	Clouds in My Coffee	2004
Chin Han	Blindness	1998
Vivian Wu	Blindness	1998
Lisa Lu	Blindness	1998
Joe Lando	Blindness	1998
Chin Han	A Different Sun	2017
Alyssa Maria App	A Different Sun	2017
Danni Wang	A Different Sun	2017
Ashley Gerasimovich	A Different Sun	2017
Chin Han	Skyscraper	2018
Dwayne Johnson	Skyscraper	2018
Neve Campbell	Skyscraper	2018
Roland Moller	Skyscraper	2018
Pongsatorn Jongwilak	Pee Mak	2013
Mario Maurer	Pee Mak	2013
Davika Hoorne	Pee Mak	2013
Nattapong Chartpong	Pee Mak	2013
Pongsatorn Jongwilak	My Space	2004
Saruth Chatchawan	My Space	2004
Patchara Buranawimolwan	My Space	2004
Somlek Sakdikul	My Space	2004
Pongsatorn Jongwilak	ATM: Er Rak Error	2012
Yanee Tramoth	ATM: Er Rak Error	2012
Chantavit Dhanasevi	ATM: Er Rak Error	2012
Thawat Pornrattanaprasert	ATM: Er Rak Error	2012
Sunny Suwanmethanont	A Gift	2016
Chantavit Dhanasevi	A Gift	2016
Nittha Jirayungyurn	A Gift	2016
Nuengthida Sophon	A Gift	2016
Sunny Suwanmethanont	Dear Dakanda	2005
Maneerat Kham-uan	Dear Dakanda	2005
Siraphan Wattanajinda	Dear Dakanda	2005
Panissara Phimpru	Dear Dakanda	2005
Sunny Suwanmethanont	I Fine..Thank You Love You	2014
Preechaya Pongthananikorn	I Fine..Thank You Love You	2014
Bonnie Zellerbach	I Fine..Thank You Love You	2014
Popetorn Soonthornyanakij	I Fine..Thank You Love You	2014
Puttachat Pongsuchat	I Fine..Thank You Love You	2014
Sunny Suwanmethanont	Die Tomorrow	2017
Rattanrat Eertaweekul	Die Tomorrow	2017
Sirat Intarachote	Die Tomorrow	2017
Patcha Poonpiriya	Die Tomorrow	2017
Suchao Pongwilai	Distortion	2012
Arpa Pawilai	Distortion	2012
Artit Wiboonpanitch	Distortion	2012
Boonyisa Jantrarachai	Distortion	2012
Sarunyu Prachakrit	Distortion	2012
Chanana Nutakom	Distortion	2012
Suchao Pongwilai	Mae Luek Kerd Dai	1982
Anchalee Chaisiri	Mae Luek Kerd Dai	1982
Suchao Pongwilai	Kor Kwam Rak Bang Dai Mai	1992
Narubet Jinpinpetch	Kor Kwam Rak Bang Dai Mai	1992
Paweena Chariffsakul	Kor Kwam Rak Bang Dai Mai	1992
Naiyana Maneetes	Kor Kwam Rak Bang Dai Mai	1992
Suchao Pongwilai	Ong-Bak: The Thai Warrior	2003
Petchtai Wongkamlao	Ong-Bak: The Thai Warrior	2003
Pumwaree Yodkamol	Ong-Bak: The Thai Warrior	2003
Tony Jaa	Ong-Bak: The Thai Warrior	2003
Suchao Pongwilai	Citizen II	1984
Sorapong Chatree	Citizen II	1984
Po Pao Pee	Citizen II	1984
Suchao Pongwilai	Ameen	2015
Ray MacDonald	Ameen	2015
Athip Nana	Ameen	2015
Choomporn Theppitak	Ameen	2015
Thiti Phum-Orn	Ameen	2015
Al Ameen Saeleema	Ameen	2015
Suchao Pongwilai	Butterfly and Flowers	1985
Suchao Pongwilai	Thepthida Bar 21	1978
Suchao Pongwilai	Yom-Pee-Poa	2009
Channarong Khuntee-tao	Yom-Pee-Poa	2009
Somjai Sukjai	Yom-Pee-Poa	2009
Anthony Ryu	Khun Phan	2016
Sonthaya Chitmanee	Khun Phan	2016
Anthony Ryu	Sunset at Chaophraya	2013
Hiroyuki Kobayashi	Sunset at Chaophraya	2013
Surachai Chantimatorn	Sunset at Chaophraya	2013
Yasuhiko Miyauchi	Sunset at Chaophraya	2013
Oranate D. Caballes	Sunset at Chaophraya	2013
Nitit Warayanon	Sunset at Chaophraya	2013
Nadech Kugimiya	Sunset at Chaophraya	2013
David Ismalone	Mystic Blade	2014
Don Ferguson	Mystic Blade	2014
Julaluck Ismalone	Mystic Blade	2014
